Var1_Timestamp,X,Var2_Timestamp,Y,Var3_Timestamp,Z
15-Feb-2025 08:16:08.154,0.342174,15-Feb-2025 08:16:08.154,0.021535,15-Feb-2025 08:16:08.154,10.399805
15-Feb-2025 08:16:08.174,-0.064606,15-Feb-2025 08:16:08.174,0.160319,15-Feb-2025 08:16:08.174,9.241081
15-Feb-2025 08:16:08.194,0.12682,15-Feb-2025 08:16:08.194,0.098106,15-Feb-2025 08:16:08.194,9.796216
15-Feb-2025 08:16:08.214,0.284746,15-Feb-2025 08:16:08.214,0.031107,15-Feb-2025 08:16:08.214,10.237094
15-Feb-2025 08:16:08.234,0.098106,15-Feb-2025 08:16:08.234,0.098106,15-Feb-2025 08:16:08.234,9.710074
15-Feb-2025 08:16:08.253,0.088534,15-Feb-2025 08:16:08.253,0.102891,15-Feb-2025 08:16:08.253,9.71486
15-Feb-2025 08:16:08.274,0.189033,15-Feb-2025 08:16:08.274,0.069392,15-Feb-2025 08:16:08.274,10.002597
15-Feb-2025 08:16:08.293,0.136391,15-Feb-2025 08:16:08.293,0.078963,15-Feb-2025 08:16:08.293,9.858429
15-Feb-2025 08:16:08.314,0.131605,15-Feb-2025 08:16:08.314,0.09332,15-Feb-2025 08:16:08.314,9.767502
15-Feb-2025 08:16:08.333,0.165105,15-Feb-2025 08:16:08.333,0.069392,15-Feb-2025 08:16:08.333,9.87817
15-Feb-2025 08:16:08.353,0.131605,15-Feb-2025 08:16:08.353,0.078963,15-Feb-2025 08:16:08.353,9.863214
15-Feb-2025 08:16:08.373,0.112463,15-Feb-2025 08:16:08.373,0.088534,15-Feb-2025 08:16:08.373,9.82493
15-Feb-2025 08:16:08.393,0.150748,15-Feb-2025 08:16:08.393,0.078963,15-Feb-2025 08:16:08.393,9.873384
15-Feb-2025 08:16:08.413,0.141177,15-Feb-2025 08:16:08.413,0.098106,15-Feb-2025 08:16:08.413,9.863214
15-Feb-2025 08:16:08.433,0.131605,15-Feb-2025 08:16:08.433,0.09332,15-Feb-2025 08:16:08.433,9.834501
15-Feb-2025 08:16:08.453,0.155533,15-Feb-2025 08:16:08.453,0.078963,15-Feb-2025 08:16:08.453,9.858429
15-Feb-2025 08:16:08.473,0.145962,15-Feb-2025 08:16:08.473,0.078963,15-Feb-2025 08:16:08.473,9.858429
15-Feb-2025 08:16:08.493,0.145962,15-Feb-2025 08:16:08.493,0.09332,15-Feb-2025 08:16:08.493,9.848858
15-Feb-2025 08:16:08.513,0.150748,15-Feb-2025 08:16:08.513,0.078963,15-Feb-2025 08:16:08.513,9.858429
15-Feb-2025 08:16:08.533,0.136391,15-Feb-2025 08:16:08.533,0.083749,15-Feb-2025 08:16:08.533,9.863214
15-Feb-2025 08:16:08.553,0.12682,15-Feb-2025 08:16:08.553,0.078963,15-Feb-2025 08:16:08.553,9.839287
15-Feb-2025 08:16:08.573,0.136391,15-Feb-2025 08:16:08.573,0.078963,15-Feb-2025 08:16:08.573,9.848858
