Var1_Timestamp,X,Var2_Timestamp,Y,Var3_Timestamp,Z
15-Feb-2025 08:23:09.620,0.270389,15-Feb-2025 08:23:09.620,0.021535,15-Feb-2025 08:23:09.620,10.237094
15-Feb-2025 08:23:09.640,-0.184247,15-Feb-2025 08:23:09.640,0.189033,15-Feb-2025 08:23:09.640,8.949157
15-Feb-2025 08:23:09.660,0.198604,15-Feb-2025 08:23:09.660,0.045464,15-Feb-2025 08:23:09.660,10.150951
15-Feb-2025 08:23:09.680,0.217747,15-Feb-2025 08:23:09.680,0.026321,15-Feb-2025 08:23:09.680,10.165309
15-Feb-2025 08:23:09.700,-0.040678,15-Feb-2025 08:23:09.700,0.107677,15-Feb-2025 08:23:09.700,9.45165
15-Feb-2025 08:23:09.720,0.16989,15-Feb-2025 08:23:09.720,0.064606,15-Feb-2025 08:23:09.720,10.031311
15-Feb-2025 08:23:09.740,0.117248,15-Feb-2025 08:23:09.740,0.074178,15-Feb-2025 08:23:09.740,9.87817
15-Feb-2025 08:23:09.760,0.064606,15-Feb-2025 08:23:09.760,0.088534,15-Feb-2025 08:23:09.760,9.734002
15-Feb-2025 08:23:09.780,0.155533,15-Feb-2025 08:23:09.780,0.059821,15-Feb-2025 08:23:09.780,9.954741
15-Feb-2025 08:23:09.800,0.102891,15-Feb-2025 08:23:09.800,0.074178,15-Feb-2025 08:23:09.800,9.805787
15-Feb-2025 08:23:09.820,0.107677,15-Feb-2025 08:23:09.820,0.083749,15-Feb-2025 08:23:09.820,9.853643
15-Feb-2025 08:23:09.840,0.117248,15-Feb-2025 08:23:09.840,0.083749,15-Feb-2025 08:23:09.840,9.863214
15-Feb-2025 08:23:09.860,0.107677,15-Feb-2025 08:23:09.860,0.078963,15-Feb-2025 08:23:09.860,9.834501
15-Feb-2025 08:23:09.880,0.112463,15-Feb-2025 08:23:09.880,0.078963,15-Feb-2025 08:23:09.880,9.868599
15-Feb-2025 08:23:09.900,0.098106,15-Feb-2025 08:23:09.900,0.078963,15-Feb-2025 08:23:09.900,9.839287
15-Feb-2025 08:23:09.920,0.107677,15-Feb-2025 08:23:09.920,0.069392,15-Feb-2025 08:23:09.920,9.844072
15-Feb-2025 08:23:09.940,0.102891,15-Feb-2025 08:23:09.940,0.078963,15-Feb-2025 08:23:09.940,9.853643
15-Feb-2025 08:23:09.960,0.102891,15-Feb-2025 08:23:09.960,0.069392,15-Feb-2025 08:23:09.960,9.853643
15-Feb-2025 08:23:09.980,0.09332,15-Feb-2025 08:23:09.980,0.074178,15-Feb-2025 08:23:09.980,9.853643
15-Feb-2025 08:23:10.000,0.112463,15-Feb-2025 08:23:10.000,0.088534,15-Feb-2025 08:23:10.000,9.853643
15-Feb-2025 08:23:10.020,0.107677,15-Feb-2025 08:23:10.020,0.088534,15-Feb-2025 08:23:10.020,9.848858
15-Feb-2025 08:23:10.040,0.112463,15-Feb-2025 08:23:10.040,0.078963,15-Feb-2025 08:23:10.040,9.848858
15-Feb-2025 08:23:10.060,0.112463,15-Feb-2025 08:23:10.060,0.078963,15-Feb-2025 08:23:10.060,9.848858
15-Feb-2025 08:23:10.080,0.09332,15-Feb-2025 08:23:10.080,0.064606,15-Feb-2025 08:23:10.080,9.858429
15-Feb-2025 08:23:10.100,0.107677,15-Feb-2025 08:23:10.100,0.074178,15-Feb-2025 08:23:10.100,9.858429
15-Feb-2025 08:23:10.120,0.102891,15-Feb-2025 08:23:10.120,0.083749,15-Feb-2025 08:23:10.120,9.853643
15-Feb-2025 08:23:10.140,0.098106,15-Feb-2025 08:23:10.140,0.074178,15-Feb-2025 08:23:10.140,9.844072
15-Feb-2025 08:23:10.160,0.112463,15-Feb-2025 08:23:10.160,0.078963,15-Feb-2025 08:23:10.160,9.858429
15-Feb-2025 08:23:10.180,0.098106,15-Feb-2025 08:23:10.180,0.078963,15-Feb-2025 08:23:10.180,9.853643
15-Feb-2025 08:23:10.200,0.107677,15-Feb-2025 08:23:10.200,0.088534,15-Feb-2025 08:23:10.200,9.853643
15-Feb-2025 08:23:10.220,0.117248,15-Feb-2025 08:23:10.220,0.088534,15-Feb-2025 08:23:10.220,9.848858
15-Feb-2025 08:23:10.240,0.112463,15-Feb-2025 08:23:10.240,0.078963,15-Feb-2025 08:23:10.240,9.858429
15-Feb-2025 08:23:10.260,0.112463,15-Feb-2025 08:23:10.260,0.078963,15-Feb-2025 08:23:10.260,9.844072
15-Feb-2025 08:23:10.280,0.117248,15-Feb-2025 08:23:10.280,0.083749,15-Feb-2025 08:23:10.280,9.844072
15-Feb-2025 08:23:10.300,0.102891,15-Feb-2025 08:23:10.300,0.088534,15-Feb-2025 08:23:10.300,9.844072
15-Feb-2025 08:23:10.320,0.102891,15-Feb-2025 08:23:10.320,0.078963,15-Feb-2025 08:23:10.320,9.858429
15-Feb-2025 08:23:10.340,0.102891,15-Feb-2025 08:23:10.340,0.069392,15-Feb-2025 08:23:10.340,9.848858
15-Feb-2025 08:23:10.359,0.102891,15-Feb-2025 08:23:10.359,0.074178,15-Feb-2025 08:23:10.359,9.839287
15-Feb-2025 08:23:10.379,0.102891,15-Feb-2025 08:23:10.379,0.069392,15-Feb-2025 08:23:10.379,9.853643
15-Feb-2025 08:23:10.399,0.117248,15-Feb-2025 08:23:10.399,0.074178,15-Feb-2025 08:23:10.399,9.853643
15-Feb-2025 08:23:10.419,0.102891,15-Feb-2025 08:23:10.419,0.078963,15-Feb-2025 08:23:10.419,9.853643
15-Feb-2025 08:23:10.439,0.102891,15-Feb-2025 08:23:10.439,0.069392,15-Feb-2025 08:23:10.439,9.844072
15-Feb-2025 08:23:10.459,0.150748,15-Feb-2025 08:23:10.459,0.136391,15-Feb-2025 08:23:10.459,9.848858
15-Feb-2025 08:23:10.479,0.117248,15-Feb-2025 08:23:10.479,0.031107,15-Feb-2025 08:23:10.479,9.839287
15-Feb-2025 08:23:10.499,0.193819,15-Feb-2025 08:23:10.499,0.12682,15-Feb-2025 08:23:10.499,9.858429
15-Feb-2025 08:23:10.519,0.112463,15-Feb-2025 08:23:10.519,0.155533,15-Feb-2025 08:23:10.519,9.863214
15-Feb-2025 08:23:10.539,0.212961,15-Feb-2025 08:23:10.539,0.160319,15-Feb-2025 08:23:10.539,9.848858
15-Feb-2025 08:23:10.559,0.150748,15-Feb-2025 08:23:10.559,0.107677,15-Feb-2025 08:23:10.559,9.834501
15-Feb-2025 08:23:10.579,0.16989,15-Feb-2025 08:23:10.579,0.122034,15-Feb-2025 08:23:10.579,9.848858
15-Feb-2025 08:23:10.599,0.160319,15-Feb-2025 08:23:10.599,0.112463,15-Feb-2025 08:23:10.599,9.853643
15-Feb-2025 08:23:10.619,0.165105,15-Feb-2025 08:23:10.619,0.136391,15-Feb-2025 08:23:10.619,9.853643
15-Feb-2025 08:23:10.639,0.184247,15-Feb-2025 08:23:10.639,0.160319,15-Feb-2025 08:23:10.639,9.848858
15-Feb-2025 08:23:10.659,0.174676,15-Feb-2025 08:23:10.659,0.155533,15-Feb-2025 08:23:10.659,9.858429
15-Feb-2025 08:23:10.679,0.112463,15-Feb-2025 08:23:10.679,0.045464,15-Feb-2025 08:23:10.679,9.858429
15-Feb-2025 08:23:10.699,0.150748,15-Feb-2025 08:23:10.699,0.136391,15-Feb-2025 08:23:10.699,9.853643
15-Feb-2025 08:23:10.719,0.20339,15-Feb-2025 08:23:10.719,0.174676,15-Feb-2025 08:23:10.719,9.848858
15-Feb-2025 08:23:10.739,0.165105,15-Feb-2025 08:23:10.739,0.131605,15-Feb-2025 08:23:10.739,9.848858
15-Feb-2025 08:23:10.759,0.098106,15-Feb-2025 08:23:10.759,0.083749,15-Feb-2025 08:23:10.759,9.848858
15-Feb-2025 08:23:10.779,0.098106,15-Feb-2025 08:23:10.779,0.078963,15-Feb-2025 08:23:10.779,9.848858
15-Feb-2025 08:23:10.799,0.117248,15-Feb-2025 08:23:10.799,0.074178,15-Feb-2025 08:23:10.799,9.853643
15-Feb-2025 08:23:10.819,0.09332,15-Feb-2025 08:23:10.819,0.083749,15-Feb-2025 08:23:10.819,9.858429
